TIME,GEO,UNIT,S_ADJ,NA_ITEM,Value,Flag and Footnotes
2005Q1,Belgium,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"84,546.2",
2005Q1,Bulgaria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"7,881.3",
2005Q1,Czech Republic,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"33,908.0",
2005Q1,Denmark,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"59,197.8",
2005Q1,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"599,686.4",
2005Q1,Estonia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"3,604.7",
2005Q1,Ireland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"39,822.2",
2005Q1,Greece,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"56,915.4",
2005Q1,Spain,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"252,533.0",
2005Q1,France,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"477,780.0",
2005Q1,Croatia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"10,728.3",
2005Q1,Italy,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"403,591.6",
2005Q1,Cyprus,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,221.4",
2005Q1,Latvia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,322.1",
2005Q1,Lithuania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,412.4",
2005Q1,Luxembourg,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,748.6",
2005Q1,Hungary,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"24,312.8",
2005Q1,Malta,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"1,456.4",
2005Q1,Netherlands,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"146,009.3",
2005Q1,Austria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"68,187.5",
2005Q1,Poland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"70,800.1",
2005Q1,Portugal,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"43,603.1",
2005Q1,Romania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"26,819.2",
2005Q1,Slovenia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,153.0",
2005Q1,Finland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"44,710.0",
2005Q1,Sweden,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"83,948.1",
2005Q1,United Kingdom,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"442,368.8",
2005Q1,Norway,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"76,569.8",
2005Q1,Switzerland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"96,898.9",
2005Q1,Serbia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,367.6",
2005Q2,Belgium,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"84,966.9",
2005Q2,Bulgaria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"7,998.3",
2005Q2,Czech Republic,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"34,358.2",
2005Q2,Denmark,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"60,363.4",
2005Q2,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"603,750.1",
2005Q2,Estonia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"3,700.2",
2005Q2,Ireland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"40,645.4",
2005Q2,Greece,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"57,038.9",
2005Q2,Spain,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"255,107.0",
2005Q2,France,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"478,580.0",
2005Q2,Croatia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"10,965.0",
2005Q2,Italy,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"406,868.3",
2005Q2,Cyprus,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,222.0",
2005Q2,Latvia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"4,407.7",
2005Q2,Lithuania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,503.3",
2005Q2,Luxembourg,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,804.4",
2005Q2,Hungary,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"24,697.1",
2005Q2,Malta,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"1,498.9",
2005Q2,Netherlands,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"147,066.7",
2005Q2,Austria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"68,897.9",
2005Q2,Poland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"71,092.3",
2005Q2,Portugal,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"43,785.8",
2005Q2,Romania,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"27,128.5",
2005Q2,Slovenia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,274.5",
2005Q2,Finland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"44,622.0",
2005Q2,Sweden,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"84,799.8",
2005Q2,United Kingdom,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"447,136.4",
2005Q2,Norway,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"76,971.3",
2005Q2,Switzerland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"97,798.6",
2005Q2,Serbia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"6,458.5",
2005Q3,Belgium,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"85,279.1",
2005Q3,Bulgaria,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"8,100.6",
2005Q3,Czech Republic,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"34,873.6",
2005Q3,Denmark,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"60,430.6",
2005Q3,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"608,587.9",
2005Q3,Estonia,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"3,813.6",
2005Q3,Ireland,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"40,932.7",
2005Q3,Greece,"Chain linked volumes (2010), million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,"57,837.7",
